Id,StateAbbr,ClientUno,County,StateName,PostalCode,EthnicIdentity,Age,Gender,MaritalStatus,Veteran,Imprisoned,NumberInHousehold,AnnualIncome,AllowedIncome,CheckingBalance,SavingsBalance,InvestmentsBalance,CreatedUtc
14,AR,811130FC-740F-4B72-8E7D-51285905DA0F,Pulaski,Arkansas,72207,Caucasian,NULL,Female,Married / remarried,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
15,WY,5553E4AA-DC7D-49A2-BC38-227E02705024,Natrona,Wyoming,82601,African American,NULL,Male,Single,NULL,No,4,NULL,48990,5,5,NULL,########
16,KS,257291D8-878F-4C45-BC3C-413C7AD2F382,Sedgwick,Kansas,67203,Arab,20,Female,Single,NULL,No,1,5200,13590,NULL,NULL,NULL,########
17,MS,E7952D74-AA6D-4B20-BED0-60B8F973EA30,Yalobusha,Mississippi,38965,Caucasian,NULL,Female,Married / remarried,NULL,No,3,20800,37190,2000,NULL,NULL,########
18,KS,2E93B246-E278-4D2B-8681-0A988454299A,Chase,Kansas,66049,Caucasian,NULL,Female,Single,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
19,WY,30B143DC-CA59-4298-B4F5-06ADBE1B00B7,Laramie,Wyoming,82053,Caucasian,NULL,Female,Divorced or Widowed,NULL,No,3,36400,37190,NULL,NULL,NULL,########
20,HI,4FACE022-3889-4105-80CB-F2DB62BFDECD,Hawaii,Hawaii,96813,Slavic,28,Female,Married / remarried,NULL,No,1,12000,15630,NULL,NULL,NULL,########
21,KS,D38F358D-2473-4E66-929F-CF3E80DA6E17,Wyandotte,Kansas,67342,Caucasian,43,Female,Married / remarried,No,No,3,10800,37190,NULL,NULL,NULL,########
22,NY,BB5E9F62-0601-4663-B182-D95F1B478F80,New York,New York,12206,Caucasian,26,Female,Married / remarried,NULL,No,3,200,51350,NULL,NULL,NULL,########
23,CT,7BFCBF4E-EA15-4472-8E0F-B693C81C3A37,New Haven,Connecticut,6492,Caucasian,NULL,Male,Divorced or Widowed,NULL,No,1,20580,13590,-265,20,NULL,########
24,GA,4B61D429-4792-475E-8476-3FCA85FB9D23,Clay,Georgia,31401,Latino or Hispanic,68,Female,Married / remarried,Yes,No,2,11400,25390,200,NULL,NULL,########
25,KS,AFCFC0FF-71B1-400A-9A61-524B1B265A20,Douglas,Kansas,66047,Caucasian,51,Female,Divorced or Widowed,NULL,No,3,19200,37190,125,NULL,NULL,########
26,MS,C9961C4D-D577-4219-8ECF-431699060E4A,Jackson,Mississippi,39564,Caucasian,NULL,Female,Married / remarried,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
27,SD,E595A29F-C9C9-40DF-B5D3-30ED33B05712,Codington,South Dakota,57201,Caucasian,36,Female,Single,No,No,5,17420,60790,100,25,NULL,########
28,TN,970A1CA6-F7C6-40E8-A539-0F447BE19D49,Carter,Tennessee,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
29,MS,B1B63342-E28A-4D2F-BDA6-B787B93FC53D,Warren,Mississippi,39180,Caucasian,NULL,Male,Single,NULL,No,1,12300,13590,NULL,NULL,NULL,########
30,TN,1D86EDB2-8605-4506-A496-F79128DB5816,Sullivan,Tennessee,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
31,WY,A6990A8D-9B43-4C40-8056-EBE0EC3E66C8,Uinta,Wyoming,82930,Caucasian,38,Female,Separated,No,No,1,48000,13590,547,192,NULL,########
32,MI,6061A885-2900-4D92-89CF-61C630F1A215,Genesee,Michigan,48505,Caucasian,63,Female,Married / remarried,No,No,1,52000,13590,NULL,NULL,NULL,########
33,MS,7B2F2364-FB45-40D8-8C56-BFFD224411B9,Oktibbeha,Mississippi,39759,Caucasian,NULL,Female,Single,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
34,SD,DD4004F0-E049-4A41-849D-42BAC2E3C90B,Lawrence,South Dakota,82721,"Caucasian,Native American or Alaska Native",27,Female,Single,No,No,3,8400,37190,100,NULL,NULL,########
35,TN,A095F1C3-75ED-4956-B87F-5B06AF9CCB1E,Roane,Tennessee,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
36,AK,428FBF9E-FD5B-48A4-AB0D-AC63DE0747BE,Anchorage Municipality,Alaska,99501,Asian,30,Male,Single,No,No,1,33800,16990,50000,0,NULL,########
37,GA,E50601A6-451F-4290-8AD3-F02915701777,Berrien,Georgia,32344,Latino or Hispanic,66,Female,Married / remarried,Yes,No,2,11400,25390,340,NULL,NULL,########
38,MS,B678D461-A836-49B9-BA2A-4827EAF1A227,Pearl River,Mississippi,39426,Caucasian,NULL,Female,Divorced or Widowed,NULL,No,4,12000,48990,NULL,NULL,NULL,########
39,TN,68CDFC74-14CF-4FA0-88C7-F570EE809485,Anderson,Tennessee,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
40,AK,4A6F0B2E-B78F-436C-A530-D812B50FEC03,Fairbanks North Star Borough,Alaska,99709,Caucasian,60,Male,Single,No,No,1,12000,16990,NULL,NULL,NULL,########
41,CT,14F4276B-D1E6-4CF2-92E9-31B59F30BD03,Hartford,Connecticut,6109,Other,NULL,Female,Single,NULL,No,4,52000,48990,NULL,NULL,NULL,########
42,KS,29291A33-E468-4369-B112-7093A1AB7CDE,Sedgwick,Kansas,67211,I'd rather not answer,NULL,Female,Single,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
43,MS,FF4897DD-9B29-46F1-BDF4-4336D9EF3ABD,Harrison,Mississippi,39501,Caucasian,NULL,Female,Single,NULL,No,3,0,37190,0,NULL,NULL,########
44,TN,D6A07AA5-63B3-496C-A6D7-D4DF0FFC1B80,Robertson,Tennessee,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
45,KS,72D73D88-A228-44B2-972E-3C6313C1D500,Sedgwick,Kansas,67219,"Arab,Other",35,Male,Married / remarried,NULL,No,5,70000,60790,16,NULL,NULL,########
46,TN,4E298D2F-DD2F-4254-81C7-54841EDC4D34,Franklin,Tennessee,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
47,WY,5F3BB7E4-254B-419A-956E-894DD89D184E,Fremont,Wyoming,82649,Caucasian,NULL,Female,Married / remarried,NULL,No,5,24000,60790,0,NULL,NULL,########
48,AK,CA1FF3DF-5090-471F-BC46-490AABBE54DE,Anchorage Municipality,Alaska,99516,Caucasian,76,Male,Married / remarried,Yes,No,2,37200,31740,300,NULL,NULL,########
49,AR,98334A2B-CC62-4F6D-9F76-94A367D7A38B,Arkansas,Arkansas,72734,Caucasian,54,Male,Single,No,No,1,0,13590,0.01,NULL,NULL,########
50,TN,8C0EE6B1-5DF2-4EE3-8E65-99655E8EE6F8,Sevier,Tennessee,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
51,AK,ACBA05BA-14EB-4728-B9D8-056BDD2FA2E7,Anchorage Municipality,Alaska,99502,Caucasian,46,Female,Divorced or Widowed,No,No,1,18000,16990,200,200,NULL,########
52,AL,DAAED0B6-B4FC-4171-9814-79210CD90C25,Madison,Alabama,35757,Caucasian,63,Male,Divorced or Widowed,Yes,No,1,14900,13590,NULL,NULL,NULL,########
53,TN,074BBA6B-33D8-4F95-B8EB-1B624AEA78AE,Monroe,Tennessee,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
54,AL,74F8E97E-85F5-4178-AD35-132A177E12F8,Lauderdale,Alabama,35630,,31,NULL,NULL,NULL,No,3,8000,37190,2000,35,NULL,########
55,LA,41C132A2-429E-4280-823A-B731F8A3BA75,Caddo Parish,Louisiana,71118,Caucasian,NULL,Female,Married / remarried,NULL,No,5,24000,89110,10,10,NULL,########
56,MS,2E996DD6-C499-483B-BAAA-B69E15103C68,Adams,Mississippi,39120,Caucasian,NULL,Male,Single,NULL,No,4,5200,48990,843,NULL,NULL,########
57,TN,615192DB-18C2-4578-AD38-53222F98552D,Madison,Tennessee,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
58,WY,175FDAFA-3690-4506-8448-CEE61F7770E4,Natrona,Wyoming,82609,Caucasian,NULL,Female,Divorced or Widowed,NULL,No,2,17160,25390,0.75,1.26,NULL,########
59,CT,5E796694-A539-423D-85C2-1F4702A32988,New Haven,Connecticut,6492,Caucasian,NULL,Female,Married / remarried,NULL,No,4,9600,48990,NULL,NULL,NULL,########
60,MD,C0CD436F-66C0-4290-84BA-51AAA68BC850,Baltimore city,Maryland,21210,Caucasian,NULL,Female,Single,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
61,MS,430CC74D-89B5-45DE-BBAB-BA94E4803E9E,Rankin,Mississippi,38901,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
62,TN,634BEFC4-BBD8-4134-8022-663FFBF89E79,Shelby,Tennessee,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
63,TX,BAEC6DE0-BF24-424E-ACC3-4A3993548D24,Tarrant,Texas,76180,Caucasian,21,NULL,NULL,No,No,3,90000,37190,346,NULL,NULL,########
64,MS,3A83092D-A7D5-4AB6-8D70-AC634B8150D3,Harrison,Mississippi,39571,Caucasian,NULL,Male,Married / remarried,NULL,No,4,28600,48990,250,5,NULL,########
65,TN,32F0D411-0B0B-4AD3-B0B4-C6CCE6D7B10C,Shelby,Tennessee,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
66,TX,236783FF-5040-423E-A150-481EB941C2A5,Travis,Texas,78729,I'd rather not answer,45,Female,Married / remarried,No,No,8,1200,96190,100,NULL,NULL,########
67,MD,ECB5CD4F-4B0E-440A-8E2C-2E403437DA13,Howard,Maryland,21075,African,NULL,Female,Separated,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
68,PA,6A3CB204-414E-4831-982E-1528ADFBA9AD,Monroe,Pennsylvania,18302,I'd rather not answer,39,I'd rather not answer,I'd rather not answer,NULL,No,5,0,60790,NULL,NULL,NULL,########
69,TN,23016487-9D10-486E-A33B-EB51A029F47B,Robertson,Tennessee,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
70,VT,436A05B6-D166-46A8-8842-6B2B7F5C3C14,Washington,Vermont,5602,Caucasian,56,Female,Married / remarried,No,No,2,19604,25390,93,1500,2400,########
71,HI,68F5EC47-46F9-48A5-BBEE-5E00146F0ECA,Honolulu,Hawaii,96813,,30,NULL,NULL,NULL,No,1,12000,15630,NULL,NULL,NULL,########
72,IA,9CA64DBD-3B0F-4F99-A084-3C4C3A65CA46,Fayette,Iowa,50662,Caucasian,NULL,Female,Married / remarried,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
73,KS,F7410C16-9E17-4EE9-B611-F17DC39B9BB8,Crawford,Kansas,66603,I'd rather not answer,60,Female,Married / remarried,NULL,No,2,18000,25390,20,NULL,NULL,########
74,TN,AFDB8E94-E3F3-409C-ADC9-EF1DB39C17C2,Shelby,Tennessee,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
75,AK,770453D3-AA02-431C-9686-089933E54CD9,Matanuska-Susitna Borough,Alaska,99623,Caucasian,27,Female,Single,No,No,5,27600,75990,200,850,NULL,########
76,AL,B821EB90-A9E2-483D-8559-3130C81AC2CC,DeKalb,Alabama,35951,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
77,AR,9A04E4E4-744C-4149-9783-22F48D6BCDED,Mississippi,Arkansas,36542,Caucasian,32,Female,Single,No,No,3,8400,37190,NULL,NULL,NULL,########
78,HI,B5754834-3AFB-4468-B00E-1BDD6E756897,Honolulu,Hawaii,96819,Asian,35,Female,Married / remarried,NULL,No,2,60000,29205,2000,1000,10000,########
79,IA,88D7D2FE-7DD4-4B86-BC02-B76B16C75D19,Polk,Iowa,50266,Caucasian,27,Male,Single,No,No,3,15000,37190,45,300,NULL,########
80,KS,C84454D7-4D0B-4800-B4D5-79D18D3A24C0,Wyandotte,Kansas,66106,Latino or Hispanic,21,Male,Single,NULL,No,1,15600,13590,45,NULL,NULL,########
81,MD,D66DC76A-92BF-44A3-9931-230D7682CE9F,Baltimore city,Maryland,21229,African American,65,I'd rather not answer,I'd rather not answer,NULL,No,1,42000,13590,NULL,NULL,NULL,########
82,MS,57AFBCC3-64EB-441F-843F-FE2401A63C06,Hancock,Mississippi,39525,Caucasian,NULL,Male,Separated,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
83,SD,7774D18D-2ED6-4A5F-B6DA-A00A0045CB32,Brown,South Dakota,57401,,37,NULL,NULL,NULL,No,5,36400,60790,NULL,NULL,NULL,########
84,TN,A03ECCB6-F82F-4E7B-B548-D789AE5F9A4A,Washington,Tennessee,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
85,AK,23734A74-53F3-4199-886E-FF203606B130,Anchorage Municipality,Alaska,99502,Caucasian,60,Female,Divorced or Widowed,No,No,3,62400,46490,2500,1000,NULL,########
86,AL,16904C6F-9CCE-49FC-A515-32A37FB7F73A,Tallapoosa,Alabama,35010,,20,NULL,NULL,NULL,No,2,35000,25390,125,25,NULL,########
87,HI,19B88C3B-C505-4B68-B2CF-60171B7FB696,Honolulu,Hawaii,96819,Asian,35,Female,Single,NULL,No,1,24000,15630,500,NULL,NULL,########
88,KS,C22EAC2A-0EE0-4A42-BA3B-A2A4499105E1,Shawnee,Kansas,66614,"Caucasian,Other",38,Female,Single,NULL,No,3,3600,37190,NULL,NULL,NULL,########
89,MS,4BFF1FFC-5BA2-46A8-825D-1BCAEF706F65,Harrison,Mississippi,39535,Caucasian,NULL,Male,Divorced or Widowed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
90,PA,1516E276-6708-41DC-8B97-06BB1D9CCF13,Luzerne,Pennsylvania,18202,Native American or Alaska Native,46,Female,Single,No,No,1,20000,13590,103,NULL,NULL,########
91,TN,669A1C1B-34E7-45E0-9063-BFB1F7ADBAD1,Shelby,Tennessee,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
92,AK,98952475-FEF6-42FA-B408-42E219BF9C37,Matanuska-Susitna Borough,Alaska,99645,Caucasian,28,Female,Divorced or Widowed,No,No,3,27600,46490,600,1200,NULL,########
93,KS,4109F6A3-025A-4205-84A3-F7C9B5C6A323,Reno,Kansas,67530,,35,NULL,NULL,NULL,No,2,12000,25390,-500,NULL,NULL,########
94,LA,64441EAE-70E3-43A5-A9BD-BE881900C6C5,Ouachita Parish,Louisiana,71291,Latino or Hispanic,NULL,Male,Divorced or Widowed,NULL,No,3,40800,51350,NULL,NULL,NULL,########
95,MD,BC8A321E-DF8C-43FC-8567-A3EAB560D1D6,Baltimore city,Maryland,21217,African American,NULL,Female,Single,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
96,MS,0C2AF625-8F37-4B66-9BB0-6CD39C6FB174,Harrison,Mississippi,39540,Caucasian,NULL,Female,Single,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
97,SD,7BA3C57A-C46A-4401-99C4-929146DD7115,Minnehaha,South Dakota,57106,Caucasian,56,Male,Separated,No,No,1,26400,13590,900,NULL,NULL,########
98,TN,A87E4329-645E-48AB-A28A-BBE61D12F918,Sullivan,Tennessee,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
99,TX,C7A71E21-9982-475A-848A-12A1FE297C3F,Kaufman,Texas,75150,African American,33,Female,Married / remarried,No,No,3,3400,37190,NULL,NULL,NULL,########
100,AR,F5865E3B-E771-422E-A888-115924A5DB45,St. Francis,Arkansas,72223,Asian,24,Female,Single,No,No,1,18200,13590,624.75,NULL,NULL,########
101,IL,1DD418A2-95A9-4529-A92C-C25CAEC06201,Kankakee,Illinois,60950,African American,43,Male,Single,NULL,No,1,5824,13590,-188,NULL,NULL,########
102,MS,BD2B85C3-3B80-4536-858E-CDCC0347F74E,Harrison,Mississippi,39503,Caucasian,NULL,Female,Divorced or Widowed,NULL,No,4,4536,48990,-77.11,NULL,NULL,########
103,NY,4C0BE808-6E09-4E8F-A1E5-A21C6EEC1FC1,Albany,New York,12207,Caucasian,NULL,Female,Single,NULL,No,1,1200,13590,100,NULL,NULL,########
104,OK,05BEBC86-C70A-4EDD-826E-71E3478CC55B,Carter,Oklahoma,76102,Caucasian,NULL,Male,Single,NULL,No,1,0,13590,NULL,NULL,NULL,########
105,TN,3AE43EC3-8B5C-4315-8D49-DA39BCD6120D,Shelby,Tennessee,,NULL,41,NULL,NULL,NULL,No,4,30000,48990,NULL,NULL,NULL,########
106,AL,43E910C6-03E7-401A-8C0A-131B9C12AE6D,Calhoun,Alabama,36201,Caucasian,34,Female,Divorced or Widowed,No,No,2,25,25390,5,NULL,NULL,########
107,IL,C2A01C7F-D50B-4FAD-9814-E66CB4BEDA65,LaSalle,Illinois,61379,Caucasian,25,Female,Married / remarried,NULL,No,1,22800,13590,6,NULL,NULL,########
108,MD,7AE7F3DD-74BA-4CB8-BE11-F90BD4A154C8,Washington,Maryland,21740,Caucasian,38,Male,Married / remarried,NULL,No,2,24000,25390,NULL,NULL,NULL,########
109,OK,A6AB4BC2-77C4-4DC7-B1A9-4F1574CE8CFE,Oklahoma,Oklahoma,73120,"Caucasian,Native American or Alaska Native",NULL,Female,Single,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
110,PA,F8E178A1-AE24-47E4-8F50-0EA11091EEEC,Wayne,Pennsylvania,18436,Caucasian,45,Male,Separated,No,No,2,21600,25390,0,NULL,NULL,########
111,SD,005DB461-BF3F-47DF-AA2C-F94D739D35A7,Minnehaha,South Dakota,57033,Caucasian,43,Female,Separated,No,No,4,8400,48990,200,NULL,NULL,########
112,TN,BE33311B-E99F-45AB-9C4F-6CE237BC4299,Anderson,Tennessee,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
113,WY,B76776E7-7F8C-4E0B-893C-313D12A215D7,Sheridan,Wyoming,82801,"Caucasian,Latino or Hispanic",NULL,Female,Separated,NULL,No,2,20400,25390,177,14,NULL,########
114,AK,25800988-3D40-498C-8DB5-35F6F33C4554,Anchorage Municipality,Alaska,99501,Latino or Hispanic,31,Female,Married / remarried,No,No,2,36400,31740,318,6,NULL,########
115,IA,D258C368-D83A-41B4-A209-0B78835041CB,Webster,Iowa,50501,Caucasian,28,Female,Single,No,No,1,10000,13590,100,NULL,NULL,########
116,OK,028BE3BF-22E6-4A4F-A075-C5162903F8B1,Wagoner,Oklahoma,74436,Caucasian,NULL,Female,Married / remarried,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
117,TN,07F4D9BE-8F4A-4783-9033-91800D017D53,Williamson,Tennessee,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
118,TX,B58067ED-3853-4C7D-9EEA-48E6265E480E,Harris,Texas,77396,Latino or Hispanic,20,Female,Married / remarried,No,No,5,0,60790,NULL,NULL,NULL,########
119,AK,6C456164-2CA7-4CA3-89B7-B79F519BACB8,Fairbanks North Star Borough,Alaska,99701,,55,NULL,NULL,NULL,No,2,19200,31740,59,NULL,NULL,########
120,CT,55D5C775-B071-45F7-9599-B02E836EDB27,Hartford,Connecticut,6101,Latino or Hispanic,NULL,Male,Single,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
121,GA,2A026AB4-8F83-4AC7-BC3A-8AD2E5B15DA8,Clayton,Georgia,30296,African American,42,Female,Single,No,No,4,22344,48990,3.21,0,NULL,########
122,KS,7803BF38-4CE7-41F9-9089-690EBA83B2D5,Jackson,Kansas,64112,Caucasian,47,Male,Divorced or Widowed,No,No,1,52000,13590,300,NULL,NULL,########
123,MS,959144FB-E22A-40E2-9140-CCDE46DFBA6C,Hancock,Mississippi,39576,Caucasian,NULL,Female,Divorced or Widowed,NULL,No,1,7800,13590,NULL,NULL,NULL,########
124,TN,0AB7EC4A-A531-4DFE-99F1-D07316822153,Shelby,Tennessee,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
125,AL,2A6557BD-CC1A-46FD-8C7D-EF4B72FF8B60,Chilton,Alabama,35085,Caucasian,NULL,Female,Single,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
126,KS,03803D97-D8C1-489F-A1BB-4A2500FB370F,Johnson,Kansas,66210,Caucasian,46,Male,Divorced or Widowed,No,No,1,0,13590,NULL,NULL,NULL,########
127,LA,F70E36DD-A053-49C0-9154-635B4BB289E4,Bossier Parish,Louisiana,71112,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
128,MD,FDD0A34A-851A-4EAD-A100-576DDFDE47D7,Anne Arundel,Maryland,21061,African American,18,Female,Single,NULL,No,8,3600,96190,NULL,NULL,NULL,########
129,PA,075B52B6-2B44-4961-B045-ADFF8CA1C7C3,Bucks,Pennsylvania,19021,Other,47,I'd rather not answer,Single,NULL,No,3,23000,37190,500,60,NULL,########
130,SD,9346E732-7DC3-4A61-A2BF-BD16AF6AA6D9,Minnehaha,South Dakota,57106,Caucasian,49,Female,Single,No,No,2,31200,25390,NULL,NULL,NULL,########
131,TN,486C0B3D-3430-4871-A7E8-2F444B209887,Smith,Tennessee,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
132,AL,D3A3B871-94F3-4339-B129-E3BE9655D0B5,St. Clair,Alabama,35131,Caucasian,32,Male,I'd rather not answer,No,No,3,20000,37190,NULL,NULL,NULL,########
133,CT,D7C08BB2-4F7E-4D98-9FE9-89065097C007,New Haven,Connecticut,6410,I'd rather not answer,NULL,I'd rather not answer,I'd rather not answer,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
134,HI,8169AC42-044E-4F78-9F80-5CD1CD7DF768,Honolulu,Hawaii,96813,,27,NULL,NULL,NULL,No,2,12000,29205,NULL,NULL,NULL,########
135,LA,B269F066-2572-422E-A841-68B83C5708B2,Tangipahoa Parish,Louisiana,78665,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
136,MI,93A37083-3910-4481-A55E-11762CB81FB4,Monroe,Michigan,48191,Caucasian,27,Female,Married / remarried,No,No,2,15600,23030,NULL,NULL,NULL,########
137,OK,D5602C52-6FB5-4BE5-9E43-6D713D01DF98,Canadian,Oklahoma,73099,Other,NULL,Female,Married / remarried,NULL,No,2,26400,25390,-102,NULL,NULL,########
138,SD,96B135B2-A8AE-43F4-906C-85F98F215200,Lincoln,South Dakota,57013,Caucasian,33,Female,Separated,No,No,4,25200,48990,0,NULL,NULL,########
139,TN,56E376C1-3F75-4E7C-B435-4EFC5C6966C7,Shelby,Tennessee,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
140,TX,44E18540-FC41-4A3B-8E93-493D4AA9B742,Harris,Texas,77373,Latino or Hispanic,57,Male,Single,No,No,2,23000,25390,10,NULL,NULL,########
141,VT,EE5573B0-AB70-4560-9543-9AC2C784829A,Rutland,Vermont,5701,,59,NULL,NULL,NULL,No,2,0,25390,NULL,NULL,NULL,########
142,WY,AB688F92-BBAC-4693-ACFA-C4984571F8F6,Laramie,Wyoming,82001,Caucasian,NULL,Female,Single,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
143,AK,3EDFBA70-5147-4FFB-80AB-671876DD7A65,Anchorage Municipality,Alaska,99567,Caucasian,25,Male,Single,No,No,1,12000,16990,NULL,NULL,NULL,########
144,MI,945462DE-DC5C-4B83-92DC-BA32FD4D7132,Oakland,Michigan,48167,Caucasian,25,Male,Single,No,No,1,32000,13590,1000,NULL,NULL,########
145,MO,1180426E-DB2B-4EB5-9869-5410ED28FE3F,Platte,Missouri,64150,"Caucasian,Native American or Alaska Native",35,Female,Married / remarried,No,No,1,912000,13590,200,1,NULL,########
146,MS,9E4A87C8-36F8-4011-B8AC-DAAC10A7643B,Prentiss,Mississippi,38829,Caucasian,NULL,Female,Divorced or Widowed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
147,PA,95054FED-774B-407D-BE11-D6E5D18902D0,Franklin,Pennsylvania,17268,Caucasian,29,Male,Single,No,No,3,30000,37190,NULL,NULL,NULL,########
